org_npi,avg_mips_score,mips_clinician_count
1013328038,93.78,4
1013328194,52.17,1
1013328277,8.04,1
1013328996,91.19,2
1013329259,77.19,11
1013329929,100.0,1
1013331180,27.56,6
1013331396,92.08,2
1013332642,94.37,1
1013335389,89.76,20
1013337658,100.0,1
1013338193,82.08,62
1013338227,21.86,1
1013339381,79.0,1
1013342922,27.65,1
1013343193,75.0,1
1013345065,85.17,51
1013347244,37.5,2
1013348002,89.51,4
1013348028,71.6,93
1013349471,82.34,11
1013350875,82.61,46
1013353440,75.0,1
1013355494,63.27,4
1013355726,85.1,6
1013355932,47.27,3
1013357953,77.03,1
1013358514,75.0,1
1013363753,77.85,3
1013364884,81.42,6
1013366954,65.84,2
1013367556,75.0,1
1013374222,85.62,18
1013374354,75.0,1
1013375195,75.0,1
1013375526,92.57,148
1013377191,89.9,1
1013378496,69.84,1
1013379460,86.07,25
1013380385,80.4,4
1013380674,78.34,1
1013384866,89.92,1
1013387810,45.6,2
1013388271,86.72,17
1013392687,68.07,5
1013394766,81.52,4
1013395409,40.09,2
1013395615,81.82,2
1013397066,87.67,4
1013397652,76.5,1
1013398130,96.57,1
1013398437,63.59,1
1013402593,89.63,1
1013402825,96.29,1
1013406594,87.5,2
1013408434,88.87,2
1013409598,80.11,1
1013409721,93.7,48
1013414317,92.33,3
1013415603,78.37,2
1013415769,81.38,28
1013415934,88.77,120
1013417187,99.15,1
1013421759,0.0,1
1013424860,48.59,1
1013425479,83.05,5
1013425495,70.32,1
1013425503,88.44,2
1013430511,77.4,3
1013430982,84.0,2
1013432210,93.44,1
1013432285,79.21,24
1013438654,37.96,2
1013441690,86.11,344
1013441807,97.5,1
1013443134,94.18,1
1013445519,54.32,6
1013449297,46.68,7
1013451186,69.5,1
1013452861,97.36,6
1013453265,41.11,1
1013453836,32.12,7
1013455286,82.79,2
1013455609,80.51,1
1013455963,100.0,1
1013456383,55.2,1
1013456672,22.56,3
1013458231,3.62,3
1013459189,95.51,1
1013459551,79.91,35
1013461193,88.81,18
1013461904,84.45,6
1013462134,100.0,2
1013463058,75.0,1
1013466093,57.26,2
1013466192,59.71,8
1013467554,98.84,2
1013468172,73.35,11
1013471515,96.02,1
1013471721,75.0,4
1013475375,93.41,2
1013475805,95.24,3
1013476027,83.5,32
1013476936,76.0,1
1013480490,83.28,2
1013483163,82.47,3
1013483437,82.08,11
1013483486,33.27,2
1013487032,36.91,3
1013487388,94.66,2
1013490507,50.94,79
1013491166,84.17,1
1013494400,0.0,1
1013496991,90.88,4
1013497106,91.36,1
1013497114,87.73,49
1013499623,61.54,4
1013500206,73.51,1
1013501618,89.63,1
1013502285,95.82,1
1013504174,19.89,1
1013505486,83.0,1
1013506401,94.96,1
1013507680,75.46,1
1013509256,0.0,5
1013513308,87.54,10
1013515501,72.68,1
1013515865,77.63,1
1013516624,48.69,3
1013516897,95.01,2
1013517317,69.57,7
1013520881,94.83,1
1013521228,86.86,1
1013521343,70.75,8
1013521665,5.27,1
1013522325,62.29,3
1013523000,0.0,1
1013523802,62.38,4
1013524263,88.87,1
1013525112,93.09,1
1013526979,45.52,1
1013527845,70.48,2
1013528298,71.78,2
1013529551,85.9,1
1013529635,51.6,3
1013533181,60.68,3
1013535020,39.12,1
1013535657,86.82,2
1013535855,94.53,1
1013538610,89.39,1
1013542240,86.99,1
1013542877,79.29,2
1013547637,88.38,2
1013548072,100.0,1
1013548973,93.82,2
1013549252,84.48,1
1013551472,62.84,20
1013552074,0.0,2
1013553874,91.63,4
1013557636,60.0,1
1013557693,0.0,1
1013557727,64.42,39
1013557933,84.7,20
1013557982,90.12,1
1013559632,88.38,3
1013559673,90.25,1
1013562024,86.88,12
1013565548,78.77,1
1013566991,99.19,1
1013573849,93.73,1
1013575539,83.68,1
1013576552,67.46,6
1013577634,81.7,1
1013578442,82.05,6
1013578954,75.0,1
1013596683,16.46,1
1013603380,92.66,1
1013603919,91.33,60
1013615392,83.04,2
1013617315,98.33,1
